# 阶段二基线快照 —— 由 scripts/phase2-status.sh --update 生成
# 格式：suite<TAB>passed<TAB>skipped<TAB>failed
# 最近更新：2026-09-25
language/statements/for-of	376	54	321
language/statements/generators	165	14	87
language/expressions/generators	176	18	96
language/expressions/yield	40	3	20
language/statements/for-in	75	22	18
language/destructuring	15	3	1
language/expressions/assignment/destructuring	1	1	6
language/functions/rest-parameters	0	0	0
built-ins/Array/prototype/Symbol.iterator	0	1	0
built-ins/String/prototype/Symbol.iterator	4	1	1
language/expressions/addition	35	8	5
language/expressions/assignment	388	18	79
language/expressions/bitwise-and	20	7	3
language/expressions/bitwise-not	11	3	2
language/expressions/bitwise-or	20	7	3
language/expressions/bitwise-xor	20	7	3
language/expressions/call	54	19	19
language/expressions/class	995	2749	315
language/expressions/coalesce	21	2	1
language/expressions/comma	4	2	0
language/expressions/complement	0	0	0
language/expressions/conditional	19	3	0
language/expressions/delete	38	5	26
language/expressions/division	33	9	3
language/expressions/does-not-equals	27	10	1
language/expressions/equals	34	10	3
language/expressions/exponentiation	34	7	3
language/expressions/function	201	26	37
language/expressions/greater-than	38	9	2
language/expressions/greater-than-or-equal	27	7	9
language/expressions/grouping	5	1	3
language/expressions/in	16	20	0
language/expressions/instanceof	22	11	10
language/expressions/left-shift	35	7	3
language/expressions/less-than	34	9	2
language/expressions/less-than-or-equal	31	7	9
language/expressions/logical-and	16	2	0
language/expressions/logical-not	15	4	0
language/expressions/logical-or	16	2	0
language/expressions/member	0	0	0
language/expressions/modulus	30	7	3
language/expressions/multiplication	31	6	3
language/expressions/new	35	3	21
language/expressions/new.target	10	3	1
language/expressions/object	651	418	101
language/expressions/postfix-decrement	25	5	7
language/expressions/postfix-increment	26	5	7
language/expressions/prefix-decrement	22	5	7
language/expressions/prefix-increment	21	5	7
language/expressions/property-accessors	13	4	4
language/expressions/right-shift	27	7	3
language/expressions/strict-does-not-equals	20	10	0
language/expressions/strict-equals	20	10	0
language/expressions/subtraction	29	6	3
language/expressions/this	1	4	1
language/expressions/typeof	7	7	2
language/expressions/unary-minus	10	3	1
language/expressions/unary-plus	12	3	2
language/expressions/unsigned-right-shift	25	7	13
language/expressions/void	8	1	0
language/expressions/arrow-function	174	22	147
language/statements/block	11	7	3
language/statements/break	11	2	7
language/statements/class	1106	2871	390
language/statements/const	108	5	23
language/statements/continue	15	5	4
language/statements/do-while	18	10	8
language/statements/empty	1	1	0
language/statements/expression	1	2	0
language/statements/for	314	19	52
language/statements/function	317	79	55
language/statements/if	47	22	0
language/statements/let	111	6	28
language/statements/return	4	1	11
language/statements/switch	49	56	6
language/statements/throw	13	1	0
language/statements/try	135	22	44
language/statements/variable	123	21	34
language/statements/while	17	13	8
language/literals/boolean	4	0	0
language/literals/null	2	1	0
language/literals/numeric	93	64	0
language/literals/string	67	6	0
language/computed-property-names	36	0	12
language/identifiers	202	66	0
language/types	90	10	13
built-ins/Array	1951	277	853
built-ins/Boolean	26	8	17
built-ins/Error	36	19	38
built-ins/Function	190	191	128
built-ins/JSON	112	51	2
built-ins/Math	270	37	20
built-ins/NativeErrors	62	12	20
built-ins/Number	180	53	107
built-ins/Object	2639	299	473
built-ins/String	608	216	399
built-ins/Symbol	37	27	34
